"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C114,R370,R755,C136,C368,R215,R514,C933,R196,R751,R362,C113,R166,C57,C552,R594,C556,R320,C577,C123,R605,R607,R351,C578,C557,R100,R606,R199,R879,R157,C134,R527,R185,C898,R665,C304,R345,R284,R217,C528,R86,R505,C934,R146,R852,R507,R288,R240,R837,R500,R482,R23,C149,R178,C319,R50,R273,R287,C65,R51,C513,R483,C553,R104,R235,C509,C579,R538,R192,R636,C120,C894,R129,R492,C561,R224,R77,R55,C907,R195,R752,R454,R742,R663,C521,R267,R481,R856,R134,C845,R608,R189,R4,R476,R496,R239,R493,R516,C58,R299,R440,R357,R317,R498,R643,R443,R313,R753,C634,R232,R559,C653,R158,C773,C267,R671,R53,R365,R165,R117,C575,C531,R333,R446,R526,C247,R9,C936,C129,C310,R200,C963,R181,C574,R804,R294,R188,R98,R198,C118,R462,R455,R477,R639,C512,R220,R364,R229,R89,C164,R625,R444,R658,R153,C511,C570,R101,R11,R202,R353,R140,R241,R329,C576,R445,C115,R480,R736,R520,C975,R367,R13,R656,R236,C418,R22,R81,C130,R218,R19,C801,R309,C547,R510,R756,R230,R626,C137,C895,C143,R327,C789,R137,R522,R491,R347,R350,R154,R338,R517,C771,L39,R490,R344,R754,R132,R803,C655,R359,C766,C535,R228,R275,R441,C642,R838,C151,C638,C117,R839,R156,R800,C805,C622,C781,R172,R237,R508,C140,C287,R204,R811,C311,R372,R471,R133,R495,C121,R511,R85,R366,R227,R670,C546,R539,C851,R280,R238,C282,R504,R336,C595,R173,R604,R634,R862,C116,C150,R265,C765,R461,C61,R601,R809,R855,R234,R488,C852,R78,C148,R484,R141,R197,R332,R207,R447,R354,R136,R290,C681,R602,R130,R222,R737,R186,C514,R190,R603,R525,R80,R494,C127,R666,R458,C128,R315,R535,R6,R798,R835,C733,R302,R799,R125,R497,R303,R233,C627,C59,R600,R876,C572,R79,R672,C167,C135,C345,R216,R750,R180,C551,R459,R449,R744,R836,C550,R473,R138,R323,R305,C807,C560,R187,R374,C548,R296,C597,R292,R340,R474,R667,R439,R206,C138,R88,R593,R191,R87,R659,C510,C119,R177,R119,R472,R205,C772,R105,R325,R442,C229,R808,R457,R475,R279,C152,R3,C189,R485,C594,R368,R324,R486,R282,R99,R97,R451,R49,R147,C802,C432,R339,R428,R34,R31,C983,R789,R330,R489,R693,R61,R624,R155,R5,R14,R291,C13,C207,C751,C317,R698,C948,C780,R597,R704,R58,C470,C838,C636,R615,C147,C803,C739,C446,R807,R584,C403,R420,C663,R393,R27,C168,R703,R310,R63,R425,C491,R702,C562,R274,R468,C20,R635,C632,R411,C527,R881,L19,C30,C146,R746,R160,C464,R184,R210,R242,R810,R321,R36,C745,C484,C559,C619,C703,C450,R842,L42,R276,R70,R637,R408,R785,R139,C478,R678,R400,R599,R595,C673,C180,C774,C883,C453,C568,R548,R316,R74,C47,C940,C624,R724,C657,L38,C389,R38,R334,R712,R689,C607,R840,R716,R677,C502,C810,R826,C23,R621,R580,C430,C815,R21,C503,C182,C677,R467,C778,C449,R685,C485,C169,R819,R144,R713,R714,C124,L34,C341,R66,C342,C495,R114,R378,C981,C15,C795,R35,C720,R691,R854,R433,C891,R542,R193,C474,C439,R596,C524,R413,C337,C28,R42,C132,R398,R194,R245,R794,C734,C477,R402,C790,R93,L36,C69,R456,C823,R857,C417,C420,R638,R453,C779,R161,R668,R32,C808,R541,R116,C614,R386,R721,C175,R174,C225,C429,C154,R669,R523,R37,C969,R697,R805,R547,R618,R792,C954,C162,R254,C910,R121,R418,C410,R244,R113,C842,R824,C385,C412,R725,C505,R373,C840,C452,R24,C879,C144,C809,C516,C919,R675,R569,R30,R649,C45,R616,C604,C911,R423,R577,R419,R164,C70,R255,R623,R410,R427,R150,C961,C465,R60,C398,C436,C456,R382,R369,C426,C191,C958,R209,C490,C569,R686,R151,C63,C472,R126,C178,R256,R513,C596,C75,C205,C489,R253,C347,R886,R549,R430,R614,C819,C204,R65,R277,R422,R885,C787,R501,C605,R252,L22,R25,C125,R84,R708,C539,C475,R820,R536,R813,R499,C52,C463,R396,R795,R844,C10,C667,C440,R111,C281,C38,R661,C18,R69,C937,R211,R733,R466,C611,R16,R509,C91,R33,C400,C32,R341,C716,C708,R312,R28,C54,C481,C487,C187,C494,R243,C393,C828,C811,R598,C536,R888,C629,C443,C631,C647,C804,R380,C427,R552,C821,C669,R781,C480,C726,R793,R877,R545,C340,C344,C409,C7,R640,C17,R269,R529,C171,R76,R828,C185,R293,R107,C448,R870,R841,R17,R831,C727,C419,R829,R644,R518,C906,R687,C534,R780,R632,R182,R699,R872,R371,R652,C413,C165,R343,C172,L24,R289,C775,R412,C392,R734,R342,R544,R283,R788,C438,R676,C785,C12,C747,C5,C425,C31,R383,R627,C728,C526,R863,R531,L43,C939,C338,R429,C980,C770,C16,R163,R555,R167,R874,C424,R738,R82,R306,C752,C155,C365,R791,R123,R122,R592,R145,R52,R680,R54,C786,C422,R543,C190,R40,R250,C613,R435,R557,R247,C640,C661,C876,R646,R394,R212,R159,R15,C434,C78,C407,C415,R346,C609,R740,C644,R448,R647,R664,C29,C416,C754,C558,C460,R356,R268,C800,R257,R729,C794,R578,C55,R83,R417,R115,R830,C890,C21,C157,R790,C729,C899,R705,R786,C80,C145,L17,C731,R297,C688,C471,R682,C603,R376,R162,C461,R335,R582,C625,C920,L25,C397,C776,C788,R361,R880,C743,R384,C525,R352,R875,C183,C346,R110,C173,R26,C715,L20,R397,R64,C523,C259,R570,C590,C760,C500,C545,C721,R406,R308,C932,R409,R728,C612,C501,R487,C268,C554,R560,R355,C60,R551,C507,R7,R95,C170,R387,R270,C46,R358,R715,C742,C783,C837,C816,R251,R225,R861,R553,C14,C405,R169,C991,R128,C882,C469,R679,R175,R307,C51,C473,R642,C529,R149,R583,L16,C616,R96,R572,R696,C735,C64,R392,R722,R248,C888,C645,R534,C126,C35,C764,C618,R833,R629,R348,C62,R469,C680,R271,C22,C76,R94,R118,C540,C817,R108,C665,C209,C19,R591,C161,C39,R883,C593,C235,R152,R524,C824,R723,C391,C498,C160,R787,R437,C36,C437,L40,R106,R281,C908,R631,R706,R823,R887,R732,C33,R464,L18,C537,R311,C671,C493,R399,C286,R203,R73,R532,C476,C386,R503,C968,R586,C421,C467,C466,C455,R57,R717,R701,C42,C598,C67,R264,R363,R590,R246,R556,R179,C401,C515,C483,R688,C732,R519,R867,R349,C914,R391,C675,C749,R673,R249,R102,R59,R657,R170,R278,C479,R39,C736,R695,R571,C451,C305,R654,C163,R681,C945,R611,R434,C24,R814,C689,C396,R48,R530,C621,C406,R620,C366,R285,R889,C435,C820,C77,R45,R318,R390,C11,C791,C499,R558,R747,C390,R674,C707,R10,R506,C41,C678,R171,C543,R286,C176,R806,C459,R465,R825,R662,C746,R730,R143,C651,C50,R719,C318,R641,C53,R1,R43,R407,C462,C978,R796,C610,R710,R460,C718,R272,R62,C387,R822,C271,R381,C722,C723,R226,C706,R124,R72,R782,C928,C541,C709,C900,C649,R183,C445,C454,R259,C133,R91,R304,R748,C71,C767,C246,C719,R585,C769,R718,R630,R528,R360,R873,C82,C395,R56,R587,C184,C763,R432,R92,C542,R401,R726,R617,C659,R845,C486,R683,R450,C506,C153,C924,C141,C533,R142,C402,R46,C943,R871,C458,C44,C571,R148,R44,C549,R741,R262,R20,R648,R817,C492,R404,L37,C565,R470,R127,C158,R301,C508,C442,C887,R314,C139,C573,C382,C457,R546,C433,C40,R67,R812,R18,R424,R112,R414,R8,C56,R260,R521,C717,C159,R851,R120,C482,C245,C704,R784,R684,R75,C903,R633,R109,R388,R463,R612,R554,R298,C423,R479,R331,R650,C34,R711,C710,C813,C316,R660,C447,C72,R103,R720,C730,R533,C538,C755,C836,R731,C812,R29,R690,C850,C49,R827,C206,C923,C8,C414,C591,R266,R502,C768,R231,R700,C43,R41,R326,C6,C921,R47,C608,R395,R12,C724,R707,R337,R550,R416,L21,C441,R389,R818,R263,R727,R385,C1,R537,C827,R564,R261,C9,R694,R300,C777,R622,R176,C468,R709,C738,C929,R431,R613,C79,C230,C339,C532,C122,R749,C66,R651,C431,R415,C156,R258,C606,R201,R692,C955,R821,R90,R421,C972,R478,R403,C48,C81,C686,C826,R208,R436,R2,C428,L35,C971,R168,R68,R739,C818,L41,R319,C367,C68,C174,R645,R452,R223,R832,R322,C343,R745,R405,R619,R512,R882,C530,C705,R328,R576,R802,R850,C37,C544,C83,R295,C959,C73,R834,C74,R628,C725,R135,R71,C806,C444";"RC0402";1420;"RC0402";;;
2;"C194,C208,C941,C258,C192,C930,C312,C313,C744,C198,C684,C224,C199,C315,C682,C234,C897,C314,C761,C202,C203,C905,C683,C27,L14,C699,C564,C711,C201,C950,C989,C918,C913,C917,C831,C701,C942,C25,C949,C197,C692,C693,C702,C885,C832,C713,C741,C896,C518,C196,C200,C195,C26,C488,C193,C953,C714,C2,C691,C3,C696,C694,C880,L15,C698,C881,L13,C4,C984,C952,C497,C566,C517,C563,C946,C700,C496,C947,C986,C567,C504,C712,C886,C519,C697,L11,C904,C695,C987,L12,C931,C912";"RC0805";92;"RC0805";;;
3;"C782,C215,L54,C829,C679,C248,C628,C615,C231,L53,C211,C926,C927,C321,C273,L30,C758,C309,C762,C666,C179,C635,C660,C674,R860,C589,C977,L2,C216,C935,C892,L45,C685,C834,C670,C588,C212,L44,C976,R653,C893,C654,C362,L46,L28,C520,L55,C303,L29,R858,C641,C142,C759,C555,L52,C177,C757,C233,C962,C280,L8,L1,L48,L10,C792,L27,C793,C648,L32,L9,C784,C285,C210,L4,C990,C221,C966,C877,L7,C166,R219,C260,C938,C214,C985,C272,R866,C916,C249,C922,R214,R426,C227,L50,C188,C830,R869,C218,L23,C388,C967,C411,C839,C217,R865,R864,C320,C878,L49,C960,C236,C973,C965,C835,C750,C884,C970,C974,R213,C228,C737,C925,L51,C979,C748,L57,C909,L47,R655,C814,C964,C394,C399,R221,C822,L3,C408,C404,C915,C226,C889,C522,C902,C232,C988,C753,L6,L56,C186,C901,C181,C131,R868,C825,L5";"RC0603";155;"RC0603";;;
4;"TP119,TP13,TP19,TP27,TP73,TP110,TP14,TP99,TP65,TP112,TP17,TP29,TP16,TP121,TP69,TP111,TP133,TP74,TP33,TP31,TP67,TP72,TP71,TP34,TP94,TP100,TP64,TP113,TP68,TP20,TP24,TP124,TP114,TP98,TP25,TP28,TP116,TP30,TP97,TP12,TP21,TP115,TP32,TP117,TP95,TP131,TP120,TP101,TP123,TP130,TP122,TP118,TP127,TP129,TP26,TP128,TP18,TP103,TP126,TP66,TP15,TP70,TP75,TP125,TP96,TP88,TP6,TP77,TP41,TP10,TP57,TP108,TP90,TP23,TP102,TP59,TP49,TP82,TP62,TP47,TP87,TP7,TP109,TP40,TP81,TP60,TP9,TP92,TP36,TP55,TP44,TP107,TP105,TP104,TP45,TP63,TP93,TP106,TP85,TP50,TP91,TP78,TP35,TP3,TP84,TP43,TP86,TP8,TP1,TP132,TP54,TP4,TP51,TP48,TP89,TP46,TP56,TP22,TP53,TP76,TP58,TP37,TP42,TP11,TP80,TP83,TP2,TP61,TP52,TP5,TP79,TP39,TP38";"CMP-TestPoint30";133;"AE-TESTPOINT";;;
5;"R375,R377,R379,R735,R878,C847,R849,R779,R588,R797,R847,R848,R609,R540,R801,R783,R816,C849,R565,R575,R566,R589,R568,R438,R581,R563,R573,R610,R515,R579,R561,C848,R815,R567,R574,R562";"RC1206";36;"RC1206";;;
6;"D8,M6,Q17,M4,Q22,Q21,Q19,Q15,M7,Q3,M14,D14,Q4,Q18,M9,M3,Q1,M8,Q16,D21,Q23,M5,Q2,Q9,D11,M11,D5,Q20,D6,M10,M13,Q14,M12";"SOT-23";33;"SOT-23";;;
7;"U2";"TSSOP-48";1;"TSSOP-48";;;
8;"CN1,CN2";"MOLEX-USB-483950003";2;"MOLEX-USB-483950003";;;
9;"Q13";"TSOT-6";1;"TSOT-6";;;
10;"C95,C100,C110,C98,C94,C109,C93,C88,C92,C86,C99,C90,C97,C87,C84,C104,C89,C112,C96,C111,C85,C592,C264,C220,C668,C658,C251,C242,C327,C302,C265,C361,C279,C102,C623,C676,C278,C360,C277,C354,C672,C243,C383,C330,C650,C349,C377,C307,C581,C295,C292,C299,C290,C238,C626,C585,C250,C294,C322,C374,C372,C261,C348,C637,C244,C329,C375,C107,C276,C270,C324,C334,C274,C297,C105,C223,C323,C219,C643,C283,C376,C369,C275,C262,C306,C664,C213,C269,C359,C652,C293,C353,C106,C584,C630,C101,C583,C331,C662,C325,C384,C351,C371,C103,C288,C289,C255,C301,C363,C381,C328,C687,C254,C646,C266,C580,C241,C253,C357,C352,C656,C350,C582,C690,C639,C379,C333,C373,C326,C587,C308,C336,C298,C256,C370,C380,C364,C239,C252,C296,C620,C291,C240,C257,C108,C222,C356,C378,C358,C335,C332,C237,C300,C355,C284,C617,C633,C586,C263";"RC0201";159;"RC0201";;;
