
     Rooms & Clusters:
RefDsg: 	BTH1 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	C74 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	C75 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	C76 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	C77 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	C78 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	C81 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	C155 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C156 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C157 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C158 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C159 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C160 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C161 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C162 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C163 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C164 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	C165 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	C166 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	C167 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	C168 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	C691 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C692 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C693 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C694 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C695 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C696 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C697 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C698 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C699 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C700 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C701 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C702 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C703 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C704 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C705 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C706 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C707 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C708 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C709 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C710 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C711 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C712 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C713 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C714 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C715 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C716 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C717 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C718 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C719 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C720 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C721 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C722 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C723 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C724 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C725 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C726 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C727 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C728 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C729 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C730 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C731 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C732 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C741 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	C742 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	C743 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	C937 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C938 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	C939 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	J18 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	J20 	Room: 	 	Cluster: 	Newgroup4
RefDsg: 	L4 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	L5 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	L6 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	L7 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R100 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R101 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R103 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R104 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R105 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R106 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R107 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R108 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R109 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R116 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R117 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R119 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R120 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R121 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R125 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R126 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R127 	Room: 	 	Cluster: 	Newgroup2
RefDsg: 	R251 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R252 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R253 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R254 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R255 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R256 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R257 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R259 	Room: 	 	Cluster: 	Newgroup1
RefDsg: 	R260 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	R261 	Room: 	 	Cluster: 	Newgroup3
RefDsg: 	R262 	Room: 	 	Cluster: 	Newgroup3
