Ref Des;Part Number;Part Name;Part Label;Description;X (mm);Y (mm);Orientation;Side;Mount Type;Pin Count;Cell Name
"BTH1";"BATT-BH3098";;;;197,5;141;0;top;SMD;3;"BATT-BH3098";
"CN1";"MOLEX-USB-483950003";;;;277;125;90;top;Through;13;"MOLEX-USB-483950003";
"CN2";"MOLEX-USB-483950003";;;;277;107;90;top;Through;13;"MOLEX-USB-483950003";
"C1";"RC0402";;;;68,325;135;180;bottom;SMD;2;"RC0402";
"C2";"RC0805";;;;63,5;97;270;bottom;SMD;2;"RC0805";
"C3";"RC0805";;;;65,75;97;270;bottom;SMD;2;"RC0805";
"C4";"RC0805";;;;56,75;139,425;180;bottom;SMD;2;"RC0805";
"C5";"RC0402";;;;68,325;136,5;180;bottom;SMD;2;"RC0402";
"C6";"RC0402";;;;57,25;137,5;180;bottom;SMD;2;"RC0402";
"C7";"RC0402";;;;68,325;73,75;180;bottom;SMD;2;"RC0402";
"C8";"RC0402";;;;56,75;113,25;180;bottom;SMD;2;"RC0402";
"C9";"RC0402";;;;87,325;72,75;180;bottom;SMD;2;"RC0402";
"C10";"RC0402";;;;59,75;103;0;bottom;SMD;2;"RC0402";
"C11";"RC0402";;;;63;108,75;0;bottom;SMD;2;"RC0402";
"C12";"RC0402";;;;68,325;105,25;180;bottom;SMD;2;"RC0402";
"C13";"RC0402";;;;65,325;108,75;180;bottom;SMD;2;"RC0402";
"C14";"RC0402";;;;63;105,25;0;bottom;SMD;2;"RC0402";
"C15";"RC0402";;;;56,75;110,75;180;bottom;SMD;2;"RC0402";
"C16";"RC0402";;;;68,325;107;180;bottom;SMD;2;"RC0402";
"C17";"RC0402";;;;65,325;110,75;180;bottom;SMD;2;"RC0402";
"C18";"RC0402";;;;68,325;112,25;180;bottom;SMD;2;"RC0402";
"C19";"RC0402";;;;59,75;107,25;0;bottom;SMD;2;"RC0402";
"C20";"RC0402";;;;62,75;112,75;0;bottom;SMD;2;"RC0402";
"C21";"RC0402";;;;68,325;101,75;180;bottom;SMD;2;"RC0402";
"C22";"RC0402";;;;68,325;103,25;180;bottom;SMD;2;"RC0402";
"C23";"RC0402";;;;65,075;99,75;180;bottom;SMD;2;"RC0402";
"C24";"RC0402";;;;87,5;135;180;bottom;SMD;2;"RC0402";
"C25";"RC0805";;;;84,5;97,25;270;bottom;SMD;2;"RC0805";
"C26";"RC0805";;;;87,5;97;270;bottom;SMD;2;"RC0805";
"C27";"RC0805";;;;76,75;138,5;180;bottom;SMD;2;"RC0805";
"C28";"RC0402";;;;79,25;136,75;0;bottom;SMD;2;"RC0402";
"C29";"RC0402";;;;87,5;136,25;180;bottom;SMD;2;"RC0402";
"C30";"RC0402";;;;73,25;102,75;180;bottom;SMD;2;"RC0402";
"C31";"RC0402";;;;82;113,25;0;bottom;SMD;2;"RC0402";
"C32";"RC0402";;;;79,25;98,25;0;bottom;SMD;2;"RC0402";
"C33";"RC0402";;;;82,25;110,75;0;bottom;SMD;2;"RC0402";
"C34";"RC0402";;;;82;103,75;0;bottom;SMD;2;"RC0402";
"C35";"RC0402";;;;87,5;101,5;180;bottom;SMD;2;"RC0402";
"C36";"RC0402";;;;82,25;107,5;0;bottom;SMD;2;"RC0402";
"C37";"RC0402";;;;84,5;110,75;180;bottom;SMD;2;"RC0402";
"C38";"RC0402";;;;76,25;105,5;180;bottom;SMD;2;"RC0402";
"C39";"RC0402";;;;76,25;109;180;bottom;SMD;2;"RC0402";
"C40";"RC0402";;;;76,25;112,75;180;bottom;SMD;2;"RC0402";
"C41";"RC0402";;;;90;105;0;bottom;SMD;2;"RC0402";
"C42";"RC0402";;;;90;108,75;0;bottom;SMD;2;"RC0402";
"C43";"RC0402";;;;79,25;99,5;0;bottom;SMD;2;"RC0402";
"C44";"RC0402";;;;84,5;107,5;180;bottom;SMD;2;"RC0402";
"C45";"RC0402";;;;90;112,25;0;bottom;SMD;2;"RC0402";
"C46";"RC0402";;;;153;88;180;bottom;SMD;2;"RC0402";
"C47";"RC0402";;;;153;95,5;180;bottom;SMD;2;"RC0402";
"C48";"RC0402";;;;147,75;95,5;180;bottom;SMD;2;"RC0402";
"C49";"RC0402";;;;147,5;88;180;bottom;SMD;2;"RC0402";
"C50";"RC0402";;;;157,25;125,75;90;bottom;SMD;2;"RC0402";
"C51";"RC0402";;;;149,75;125,75;90;bottom;SMD;2;"RC0402";
"C52";"RC0402";;;;151;125,75;90;bottom;SMD;2;"RC0402";
"C53";"RC0402";;;;156;125,75;90;bottom;SMD;2;"RC0402";
"C54";"RC0402";;;;159,5;94,25;90;bottom;SMD;2;"RC0402";
"C55";"RC0402";;;;159,5;89,25;90;bottom;SMD;2;"RC0402";
"C56";"RC0402";;;;159,5;91,75;90;bottom;SMD;2;"RC0402";
"C57";"RC0402";;;;151;125,75;90;top;SMD;2;"RC0402";
"C58";"RC0402";;;;149,75;125,75;90;top;SMD;2;"RC0402";
"C59";"RC0402";;;;157,25;125,75;90;top;SMD;2;"RC0402";
"C60";"RC0402";;;;120;39,75;270;bottom;SMD;2;"RC0402";
"C61";"RC0402";;;;95;39,75;90;top;SMD;2;"RC0402";
"C62";"RC0402";;;;121;49,75;0;bottom;SMD;2;"RC0402";
"C63";"RC0402";;;;134,75;41;180;bottom;SMD;2;"RC0402";
"C64";"RC0402";;;;114;49,75;0;bottom;SMD;2;"RC0402";
"C65";"RC0402";;;;95;42;90;top;SMD;2;"RC0402";
"C66";"RC0402";;;;106;49,75;0;bottom;SMD;2;"RC0402";
"C67";"RC0402";;;;112;39,75;270;bottom;SMD;2;"RC0402";
"C68";"RC0402";;;;105;39,75;270;bottom;SMD;2;"RC0402";
"C69";"RC0402";;;;103,75;39,75;270;bottom;SMD;2;"RC0402";
"C70";"RC0402";;;;115,25;102,25;90;bottom;SMD;2;"RC0402";
"C71";"RC0402";;;;107,25;102,25;90;bottom;SMD;2;"RC0402";
"C72";"RC0402";;;;105,75;102,25;90;bottom;SMD;2;"RC0402";
"C73";"RC0402";;;;116,75;102,25;90;bottom;SMD;2;"RC0402";
"C74";"RC0402";;;;126,925;92,725;90;bottom;SMD;2;"RC0402";
"C75";"RC0402";;;;128,425;95,225;0;bottom;SMD;2;"RC0402";
"C76";"RC0402";;;;123,5;87,75;180;bottom;SMD;2;"RC0402";
"C77";"RC0402";;;;124,425;95,225;0;bottom;SMD;2;"RC0402";
"C78";"RC0402";;;;118,25;88;180;bottom;SMD;2;"RC0402";
"C79";"RC0402";;;;111,5;88,75;0;bottom;SMD;2;"RC0402";
"C80";"RC0402";;;;111,5;94,75;0;bottom;SMD;2;"RC0402";
"C81";"RC0402";;;;117,325;96,025;180;bottom;SMD;2;"RC0402";
"C82";"RC0402";;;;65,25;57,75;0;bottom;SMD;2;"RC0402";
"C83";"RC0402";;;;64,25;53;270;bottom;SMD;2;"RC0402";
"C84";"RC0201";;;;117,5;132,5;90;top;SMD;2;"RC0201";
"C85";"RC0201";;;;116,5;132,5;90;top;SMD;2;"RC0201";
"C86";"RC0201";;;;114,5;132,5;90;top;SMD;2;"RC0201";
"C87";"RC0201";;;;115,5;132,5;90;top;SMD;2;"RC0201";
"C88";"RC0201";;;;111,5;132,5;90;top;SMD;2;"RC0201";
"C89";"RC0201";;;;110,5;132,5;90;top;SMD;2;"RC0201";
"C90";"RC0201";;;;112,5;132,5;90;top;SMD;2;"RC0201";
"C91";"RC0402";;;;131,25;117,75;0;bottom;SMD;2;"RC0402";
